gvkey,company,date,alpha,beta,delta,mu,A_used,L_used,PD_P_1y,PD_Q_1y,q_feasible,train_end_date,train_end_anchor,oos_end_anchor,training_end
101336,SCHNEIDER ELECTRIC S E,2014-05-16,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,58119328119.22576,19625000000.0,0.0006895906580988352,0.05863764884888758,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-05-23,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,58748109857.10379,19625000000.0,0.000665242850054648,0.05847604461992195,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-05-30,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,59630890169.91119,19625000000.0,0.0006330114924208431,0.058160659008871976,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-06-06,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,60583068721.47074,19625000000.0,0.0006006042670050972,0.057822824781695994,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-06-13,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,59646863666.29653,19625000000.0,0.0006324482450948942,0.05863187478160515,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-06-20,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,60750347157.411026,19625000000.0,0.0005951477693039041,0.05798617242398663,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-06-27,2.25,6.229882217251276e-05,0.0010485759450026152,0.0029720804201259754,59645231061.443405,19625000000.0,0.0005098373279652939,,False,2014-06-27,2014-06-30,2014-09-30,1
101336,SCHNEIDER ELECTRIC S E,2014-09-26,2.25,3.274573661890178e-05,0.0009862661920595405,0.0018799684359752807,55054426967.025986,19625000000.0,0.0007519011559551404,,False,2014-09-26,2014-09-30,2014-12-31,1
101336,SCHNEIDER ELECTRIC S E,2014-12-26,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,55238341541.53879,19625000000.0,0.0008927209586323315,0.022220124224294865,True,2014-12-26,2014-12-31,2015-03-31,1
101336,SCHNEIDER ELECTRIC S E,2015-01-02,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,54684979712.78597,19625000000.0,0.0009242134104264627,0.02254158411900855,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-01-09,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,54015141182.14916,19625000000.0,0.0009644160969303004,0.022944756931050695,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2015-01-16,2.25,-5.257312648810745e-05,0.0010024550036879234,0.0009519024234919585,56397952924.01265,19625000000.0,0.0008313532093992003,0.02200444350536349,True,2014-12-26,2014-12-31,2015-03-31,0
