date,A_hat_oos,theta_oos,L_proxy,PD_P,PD_Q,alpha,beta1,delta,beta0,em_converged,em_n_iter,window_train_start,window_train_end,window_oos_start,window_oos_end,gvkey,window_idx,ok,msg
2014-04-25,109624722072.17447,-11.696739356223588,30464000000.0,2.548077200263991e-29,3.279781016585371e-22,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-05-02,113130643395.12814,-11.710557675748987,30464000000.0,1.5335558546991529e-30,2.903550110237791e-23,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-05-09,113300342130.39125,-11.718063334452381,30464000000.0,1.339277022228973e-30,2.6062629614529928e-23,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-05-16,116034964013.6021,-11.727979915543074,30464000000.0,1.5206851733988006e-31,3.96455011024977e-24,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-05-23,115874592801.8133,-11.736718340378957,30464000000.0,1.7269639673964246e-31,4.4822715284965604e-24,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-05-30,118193738287.84502,-11.743145780569648,30464000000.0,2.756806550655333e-32,9.10578176160455e-25,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-06-06,117453010485.1111,-11.749282901917468,30464000000.0,4.948301118482698e-32,1.5309277507231048e-24,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-06-13,116142173377.22876,-11.770655684648318,30464000000.0,1.3967536700950272e-31,3.8985015101374156e-24,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-06-20,116261851511.88246,-11.763060714878975,30464000000.0,1.2703324325197959e-31,3.5523490371895326e-24,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-06-27,115147301706.17749,-11.766245211926162,30464000000.0,3.0766372998728937e-31,7.715638415437157e-24,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
