gvkey,date,sigma_hat,mu_hat,V_0,V_used,B_used,PD_Q,PD_P,train_start_date,train_end_date,training_end
203053,2024-11-15,0.2703920755749549,0.25503036725493555,0.0,219851473825.5953,5244000000.0,2.0014501346229973e-43,9.803921887732477e-49,,2024-09-30,0
203053,2024-11-22,0.2703920755749549,0.24995861698502408,0.0,218378514219.65335,5244000000.0,2.967089003135833e-43,1.859119480020098e-48,,2024-09-30,0
203053,2024-11-29,0.2703920755749549,0.2579784071493515,0.0,223131521370.38165,5244000000.0,1.0085555800673166e-43,3.7276057349127455e-49,,2024-09-30,0
203053,2024-12-06,0.2703920755749549,0.2960891294088361,0.0,243610328296.4783,5244000000.0,1.0345899973466261e-45,3.466262517528508e-52,,2024-09-30,0
203053,2024-12-13,0.2703920755749549,0.2967623046939537,0.0,245193994003.74417,5244000000.0,7.366788777517672e-46,2.3165185009910465e-52,,2024-09-30,0
203053,2024-12-20,0.2703920755749549,0.3002762056568369,0.0,248363247015.93903,5244000000.0,3.8267765736177526e-46,9.193254585415684e-53,,2024-09-30,0
203053,2024-12-27,0.2703920755749549,0.29990583995509645,0.0,249418099062.85678,5244000000.0,3.032406963144387e-46,7.384590040125319e-53,,2024-09-30,0
203053,2024-12-31,0.2703920755749549,0.29916461523284943,0.0,250263162018.854,5244000000.0,2.548874363766098e-46,6.357797384771466e-53,,2024-09-30,0
214881,2014-03-31,0.07234521205399423,0.02996358335101419,920585734162.5045,972337991617.9751,601225000000.0,1.744445041129632e-11,1.0857199368974372e-12,2012-04-01,2014-03-31,1
214881,2014-04-04,0.07234521205399423,0.03296276316522083,0.0,978758963774.6356,601225000000.0,9.298128143102137e-12,4.170168621762187e-13,,2014-03-31,0
214881,2014-04-11,0.07234521205399423,0.027408340182291855,0.0,968304401343.0626,601225000000.0,2.576155758880197e-11,2.100840596910892e-12,,2014-03-31,0
214881,2014-04-18,0.07234521205399423,0.025787921021075817,0.0,965541357410.1364,601225000000.0,3.3929939264723054e-11,3.2479188384754732e-12,,2014-03-31,0
214881,2014-04-25,0.07234521205399423,0.029031569683052722,0.0,972501230909.5125,601225000000.0,1.7067788490452338e-11,1.1709521968066079e-12,,2014-03-31,0
214881,2014-05-02,0.07234521205399423,0.028567967716484118,0.0,972050282699.3041,601225000000.0,1.8264515469465015e-11,1.2832436121048116e-12,,2014-03-31,0
214881,2014-05-09,0.07234521205399423,0.030338714321857054,0.0,976185278699.8422,601225000000.0,1.2426508235081867e-11,7.064727103567404e-13,,2014-03-31,0
214881,2014-05-16,0.07234521205399423,0.03372434183677119,0.0,983790066500.6549,601225000000.0,6.054220084107982e-12,2.296299537939475e-13,,2014-03-31,0
214881,2014-05-23,0.07234521205399423,0.0372999370731881,0.0,991989010437.6912,601225000000.0,2.7631822220917703e-12,6.758913168529251e-14,,2014-03-31,0
214881,2014-05-30,0.07234521205399423,0.04104818747379034,0.0,1000769263429.0122,601225000000.0,1.1789945073472347e-12,1.8011339384070253e-14,,2014-03-31,0
214881,2014-06-06,0.07234521205399423,0.04120399661121858,0.0,1001851323790.8206,601225000000.0,1.0716803774832442e-12,1.5787464991555462e-14,,2014-03-31,0
214881,2014-06-13,0.07234521205399423,0.03740016488406492,0.0,994196258458.0137,601225000000.0,2.368712937326947e-12,5.3043902768775495e-14,,2014-03-31,0
214881,2014-06-20,0.07234521205399423,0.0355980859697599,0.0,990870170078.4086,601225000000.0,3.2352095817047424e-12,9.068139632437222e-14,,2014-03-31,0
214881,2014-06-27,0.07234521205399423,0.032599259904582054,0.0,984831353102.7454,601225000000.0,5.862545658944304e-12,2.312072478012917e-13,,2014-03-31,0
214881,2014-06-30,0.07037467275846662,0.028364681304596785,933579147782.4425,983190124035.9215,601225000000.0,1.7968487952496476e-12,9.42932743370451e-14,2012-07-01,2014-06-30,1
214881,2014-07-04,0.07037467275846662,0.03220858870989044,0.0,991344500547.9513,601225000000.0,7.837529799011841e-13,2.5636940791226712e-14,,2014-06-30,0
214881,2014-07-11,0.07037467275846662,0.026096357889948924,0.0,979629393778.1133,601225000000.0,2.6229625904005175e-12,1.7597736864341383e-13,,2014-06-30,0
214881,2014-07-18,0.07037467275846662,0.02464442458489236,0.0,977150741649.1711,601225000000.0,3.350058973134079e-12,2.6724335011922235e-13,,2014-06-30,0
214881,2014-07-25,0.07037467275846662,0.028544237504493575,0.0,985517468599.5804,601225000000.0,1.4391699361460065e-12,7.188685144491938e-14,,2014-06-30,0
214881,2014-08-01,0.07037467275846662,0.020400606614820894,0.0,969322966759.5452,601225000000.0,7.49615927032816e-12,9.499689966895893e-13,,2014-06-30,0
214881,2014-08-08,0.07037467275846662,0.01716783714572964,0.0,963048720410.3682,601225000000.0,1.4105024102102965e-11,2.5381663197965066e-12,,2014-06-30,0
214881,2014-08-15,0.07037467275846662,0.01821474850643611,0.0,965476040146.0289,601225000000.0,1.10480143694557e-11,1.7744597330431845e-12,,2014-06-30,0
214881,2014-08-22,0.07037467275846662,0.022445262440492428,0.0,974608473047.6873,601225000000.0,4.403612921802074e-12,4.4037558209529534e-13,,2014-06-30,0
214881,2014-08-29,0.07037467275846662,0.020328615448516753,0.0,970508543798.2026,601225000000.0,6.8400945908702755e-12,8.446801682545236e-13,,2014-06-30,0
214881,2014-09-05,0.07037467275846662,0.019249991420807713,0.0,968548776130.3854,601225000000.0,8.706987552981074e-12,1.158545099638101e-12,,2014-06-30,0
214881,2014-09-12,0.07037467275846662,0.018025284179101448,0.0,966240654571.7771,601225000000.0,1.0841933824295735e-11,1.6699132705961061e-12,,2014-06-30,0
214881,2014-09-19,0.07037467275846662,0.02415581086885168,0.0,979838475623.9253,601225000000.0,2.74934895404288e-12,2.109894106524736e-13,,2014-06-30,0
214881,2014-09-26,0.07037467275846662,0.024346700874024487,0.0,980668177904.0323,601225000000.0,2.5345096655670186e-12,1.8921804839859314e-13,,2014-06-30,0
214881,2014-09-30,0.07202235365434763,0.01828323687253363,951747924403.2001,982086577332.5133,601225000000.0,6.706515097792742e-12,1.0242025815392663e-12,2012-10-01,2014-09-30,1
214881,2014-10-03,0.07202235365434763,0.014715636945856715,0.0,975331472302.5148,601225000000.0,1.279405361084129e-11,2.873562572698085e-12,,2014-09-30,0
214881,2014-10-10,0.07202235365434763,0.004317323466264994,0.0,955097986257.3844,601225000000.0,8.940879772146053e-11,5.5801061611937414e-11,,2014-09-30,0
214881,2014-10-17,0.07202235365434763,0.006826067324184205,0.0,960072987202.7329,601225000000.0,5.495020331212274e-11,2.7394474034303176e-11,,2014-09-30,0
214881,2014-10-24,0.07202235365434763,0.01284668323289533,0.0,972232583664.1224,601225000000.0,1.7107130397805694e-11,4.692044032039007e-12,,2014-09-30,0
214881,2014-10-31,0.07202235365434763,0.019095567537085793,0.0,985245507985.3364,601225000000.0,4.8606619316461675e-12,6.851726298482308e-13,,2014-09-30,0
214881,2014-11-07,0.07202235365434763,0.0116088823645023,0.0,970072667373.384,601225000000.0,2.1298889092505716e-11,6.5477276399713215e-12,,2014-09-30,0
214881,2014-11-14,0.07202235365434763,0.009750035998735349,0.0,966398651782.8108,601225000000.0,3.020228154937345e-11,1.1228543065420385e-11,,2014-09-30,0
214881,2014-11-21,0.07202235365434763,0.015839584205732834,0.0,979292141077.7996,601225000000.0,8.583737464164103e-12,1.7299074011979584e-12,,2014-09-30,0
214881,2014-11-28,0.07202235365434763,0.015518695526437252,0.0,978858816469.5232,601225000000.0,8.913662942559421e-12,1.8649491340382814e-12,,2014-09-30,0
214881,2014-12-05,0.07202235365434763,0.018686060546792584,0.0,985924537984.8756,601225000000.0,4.4530451752889735e-12,6.662316661810461e-13,,2014-09-30,0
214881,2014-12-12,0.07202235365434763,0.010399841807363731,0.0,968321341894.2723,601225000000.0,2.4707111463782638e-11,8.73731015137247e-12,,2014-09-30,0
214881,2014-12-19,0.07202235365434763,0.006507258959356143,0.0,960093487715.7384,601225000000.0,5.5014302505238216e-11,2.816326271462393e-11,,2014-09-30,0
214881,2014-12-26,0.07202235365434763,0.010407223447869086,0.0,968628201561.0507,601225000000.0,2.437878737150759e-11,8.47119951306024e-12,,2014-09-30,0
214881,2014-12-31,0.07651663534936663,0.012512858295098059,951492951190.7411,969909918550.7794,601225000000.0,2.8235022904999144e-10,9.127988397772744e-11,2013-01-01,2014-12-31,1
214881,2015-01-02,0.07651663534936663,0.012830323358578047,0.0,970710784534.5436,601225000000.0,2.6329969058105305e-10,8.279445365078568e-11,,2014-12-31,0
214881,2015-01-09,0.07651663534936663,0.00576545422848395,0.0,957013547525.7556,601225000000.0,8.525579445631269e-10,4.912788619278114e-10,,2014-12-31,0
214881,2015-01-16,0.07651663534936663,0.010402635667625082,0.0,966241707950.003,601225000000.0,3.9588791160975924e-10,1.5052357185618657e-10,,2014-12-31,0
214881,2015-01-23,0.07651663534936663,0.022389162187195173,0.0,990740720905.4734,601225000000.0,5.062227889314454e-11,5.921044534210126e-12,,2014-12-31,0
214881,2015-01-30,0.07651663534936663,0.04018921072511804,0.0,1028790141798.7766,601225000000.0,1.72523530336225e-12,3.018565180605709e-14,,2014-12-31,0
214881,2015-02-06,0.07651663534936663,0.047656177307158314,0.0,1045918630784.8656,601225000000.0,3.715557490151461e-13,2.6274092273690447e-15,,2014-12-31,0
214881,2015-02-13,0.07651663534936663,0.04722364004866281,0.0,1045852602092.4728,601225000000.0,3.69910607841073e-13,2.766111252807498e-15,,2014-12-31,0
214881,2015-02-20,0.07651663534936663,0.049366963212122056,0.0,1051587239146.6155,601225000000.0,2.211763373830452e-13,1.2496977622697648e-15,,2014-12-31,0
214881,2015-02-27,0.07651663534936663,0.05189692321839249,0.0,1058329313466.429,601225000000.0,1.2420345147787892e-13,4.864023851616167e-16,,2014-12-31,0
214881,2015-03-06,0.07651663534936663,0.06478628605526106,0.0,1089687236755.5469,639505000000.0,2.648801241168597e-12,3.814032469473408e-15,,2014-12-31,0
214881,2015-03-13,0.07651663534936663,0.06480927856326654,0.0,1091039770163.131,639505000000.0,2.4101180238094927e-12,3.347241806426708e-15,,2014-12-31,0
214881,2015-03-20,0.07651663534936663,0.06174823574336251,0.0,1084905314198.5579,639505000000.0,4.007024330762768e-12,8.179337790452826e-15,,2014-12-31,0
214881,2015-03-27,0.07651663534936663,0.054108767521935136,0.0,1067623426688.9082,639505000000.0,1.727693781004402e-11,8.743294317504278e-14,,2014-12-31,0
214881,2015-03-31,0.08106106655032598,0.06371970493844822,946016703809.0969,1067557640645.7147,639505000000.0,2.0474454365471325e-10,7.908916785521063e-13,2013-04-01,2015-03-31,1
214881,2015-04-03,0.08106106655032598,0.0661570039239779,0.0,1074072100949.3126,639505000000.0,1.268190409486199e-10,3.6889898348880693e-13,,2015-03-31,0
214881,2015-04-10,0.08106106655032598,0.06895064855547682,0.0,1081512941343.1737,639505000000.0,7.41970612753961e-11,1.5283804851300297e-13,,2015-03-31,0
214881,2015-04-17,0.08106106655032598,0.06509018759021737,0.0,1074311599532.9344,639505000000.0,1.283530852864753e-10,3.9803251026690927e-13,,2015-03-31,0
214881,2015-04-24,0.08106106655032598,0.07326846846166199,0.0,1094014870708.783,639505000000.0,2.880290013307048e-11,3.525288029913918e-14,,2015-03-31,0
214881,2015-05-01,0.08106106655032598,0.06260224653076803,0.0,1071267023513.0734,639505000000.0,1.5678391552438388e-10,6.415023868976766e-13,,2015-03-31,0
214881,2015-05-08,0.08106106655032598,0.0626181714112417,0.0,1072525853085.6143,639505000000.0,1.435751310008268e-10,5.768091818910287e-13,,2015-03-31,0
214881,2015-05-15,0.08106106655032598,0.066758097031464,0.0,1083281261052.5525,639505000000.0,6.292251937227759e-11,1.6086078891023001e-13,,2015-03-31,0
214881,2015-05-22,0.08106106655032598,0.07072850334472507,0.0,1093919274558.8065,639505000000.0,2.8656443455612454e-11,4.5100055929495476e-14,,2015-03-31,0
214881,2015-05-29,0.08106106655032598,0.06857162593708334,0.0,1090217081044.9028,639505000000.0,3.7609665509449056e-11,7.560811501828135e-14,,2015-03-31,0
214881,2015-06-05,0.08106106655032598,0.06236437957396387,0.0,1076832802942.3777,639505000000.0,1.0229878582414888e-10,4.1194294431497056e-13,,2015-03-31,0
214881,2015-06-12,0.08106106655032598,0.06132916040888281,0.0,1075591614314.3827,639505000000.0,1.1184552868048227e-10,5.013952231640984e-13,,2015-03-31,0
214881,2015-06-19,0.08106106655032598,0.055063190886142456,0.0,1061846254236.3348,639505000000.0,3.1053493140481293e-10,2.7092566145338325e-12,,2015-03-31,0
214881,2015-06-26,0.08106106655032598,0.0616938881352038,0.0,1078880508091.484,639505000000.0,8.805453488707719e-11,3.6877616340103776e-13,,2015-03-31,0
