gvkey,train_start,train_end,n_obs,window_idx,sigma_lo,sigma_med,sigma_hi,sigma_mean,mu_lo,mu_med,mu_hi,mu_mean,n_rejects
101336,2020-07-01,2022-06-30,105,26,0.1643384061684822,0.18641015808579103,0.21457724207794443,0.1872049368127774,-0.16220195358285128,0.09885702340095184,0.3619829127679474,0.09862285421487292,0
101336,2020-10-01,2022-09-30,105,27,0.17659602516828235,0.20003034798350017,0.23089746741317974,0.20088652753603667,-0.21112245914941763,0.07906839218882566,0.3612135948124263,0.07477649057010984,0
101336,2021-01-01,2022-12-31,105,28,0.1748737302859185,0.19843976753097514,0.22878101782245744,0.199466032929814,-0.18946325979324888,0.0818934150338605,0.3606623170983072,0.08430343600407732,0
101336,2021-04-01,2023-03-31,105,29,0.1793491253873663,0.20309897525651793,0.23289478807740419,0.20389467916221043,-0.17245504055740538,0.11583121165371404,0.38347822395803793,0.11230053267546024,0
101336,2021-07-01,2023-06-30,105,30,0.1850159057810378,0.20958382355515176,0.2424867332279089,0.210580467278229,-0.16195094495362658,0.12905898542631722,0.4096383445309571,0.12818323876137586,0
101336,2021-10-01,2023-09-30,105,31,0.1835770352282102,0.20787118330139187,0.24122012030370127,0.20901812734251102,-0.22030302238145008,0.08777235470629602,0.3665455961581372,0.08553817814824523,0
101336,2022-01-01,2023-12-31,104,32,0.18328470914829936,0.20978713367487783,0.2408455470058623,0.21024730389255708,-0.21481640920718084,0.07361724471154824,0.37439147076793317,0.07402878150175231,0
101336,2022-04-01,2024-03-31,105,33,0.1717596065461072,0.19369244382592943,0.22225921565211598,0.19468030846268067,-0.11443981047423601,0.15650559533089026,0.41669547206818214,0.15419528329487384,0
101336,2022-07-01,2024-06-30,105,34,0.1642198056797768,0.18554597039211262,0.21607372622963694,0.18677350120392333,0.0475512967006827,0.30264886048556705,0.5567736170048244,0.3008484892614291,0
101336,2022-10-01,2024-09-30,105,35,0.16504665396227008,0.18809419882763156,0.21556410444170937,0.18852904473905185,0.0391801030862073,0.30344945581210314,0.5674902598992398,0.299757855845027,0
101361,2014-01-01,2015-12-31,105,0,0.10607034995144231,0.11958111079142167,0.13771917637913797,0.12030623639854286,-0.027448915085306436,0.14013549436300912,0.30448909594657997,0.13944896452818892,0
101361,2014-04-01,2016-03-31,105,1,0.11099302575400684,0.12546650111524388,0.14520588247677793,0.1262765484276388,0.009420340668766226,0.18124211533305212,0.3601613267562051,0.18111335048705773,0
101361,2014-07-01,2016-06-30,105,2,0.11685867631796809,0.13263284596025895,0.1531719079573142,0.13318710371686,-0.008383946485096067,0.17977706638464866,0.36349890529802154,0.1789199619204107,0
101361,2014-10-01,2016-09-30,105,3,0.11362424589703166,0.12948912898983211,0.1485917034359807,0.12983404333496432,0.028431972032928354,0.2029738121196542,0.3873290340159512,0.20430120489244513,0
