date,window_idx,ok,msg,window_train_start,window_train_end,window_oos_start,window_oos_end,gvkey,A_hat_oos,theta_oos,L_proxy,PD_P,PD_Q,alpha,beta1,delta,beta0,em_converged,em_n_iter
2015-05-29,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,94880415287.95999,-15.18045159113315,56703000000.0,1.2415081068992477e-13,8.285498171024712e-10,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-06-05,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,94613803349.1833,-15.176495383189454,56703000000.0,1.5962193285405516e-13,1.0195046487370452e-09,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-06-12,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,93657881263.99625,-15.171161880275505,56703000000.0,3.916518153361719e-13,2.1451384736133647e-09,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-06-19,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,93421651832.81335,-15.176143943852011,56703000000.0,4.884883371633326e-13,2.583531253502022e-09,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-06-26,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,95701861686.05794,-15.181121734132113,56703000000.0,5.708950706180583e-14,4.33310366065565e-10,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-07-03,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,94166424402.93713,-15.1583855138365,56703000000.0,1.152616061505844e-12,7.23574011475405e-09,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-07-10,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,94810826002.23363,-15.1769434697473,56703000000.0,6.56791707003837e-13,4.606108870767981e-09,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-07-17,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,98163816401.42886,-15.181546547034678,56703000000.0,3.399287827486751e-14,4.006277191151172e-10,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-07-24,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,97415828825.66805,-15.168061306418736,56703000000.0,6.612353241673834e-14,6.903476613874305e-10,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
2015-07-31,5,True,ok,2013-07-05,2015-06-26,2015-07-03,2015-09-25,220940,96429138403.32045,-15.18227846366819,56703000000.0,1.5840454642615234e-13,1.4325327436322607e-09,233.0331119116473,72.8300304833126,1.7383773061484504,-0.4508464183218308,False,10.0
