date,market_cap,debt_face,rf,A_oos_mean,A_oos_median,A_oos_q05,A_oos_q95,theta_oos_mean,theta_oos_median,theta_oos_q05,theta_oos_q95,PD_P_mean,PD_P_median,PD_P_q05,PD_P_q95,PD_Q_mean,PD_Q_median,PD_Q_q05,PD_Q_q95,gvkey,window_train_start,window_train_end,window_oos_start,window_oos_end,window_idx
2016-09-09,46311490428.28001,129410000000.0,-0.006376287794309841,245496451537.43396,176547438479.26898,176543121927.92075,176548912583.14853,3.4823987343536804,3.4109481161925683,-9.538881662860335,15.927889796335645,0.008746729705758679,0.0015205588264075153,1.0315402735577757e-05,0.044007852815709715,0.0007064460293980705,0.0005849147398012268,0.0001427672325813118,0.0016509992303969533,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-09-16,44198487290.32,129410000000.0,-0.006482306155230866,243418493833.73642,174447114773.71127,174440860081.25668,174449423512.75043,3.469837070550356,3.397582449938687,-9.552084689452943,15.915403795238468,0.011563370443073586,0.0023372852008454693,1.8599811590396744e-05,0.05699975996464876,0.0010755836045822278,0.0009182621912037171,0.0002483435830625898,0.002401120414815517,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-09-23,45504816865.64,129410000000.0,-0.006759091107089899,244775246334.69592,175790249880.1791,175785255344.61172,175792008600.1654,3.437041786860568,3.3626876818497844,-9.586554120416439,15.882805731758992,0.00968018783664256,0.0017743867892853534,1.2771859349160084e-05,0.048367048233302755,0.0008327488326293977,0.0006979649971011829,0.00017736553474004938,0.0019120547755565706,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-09-30,45035260612.76,129410000000.0,-0.0072177983354985735,244405060731.66983,175380210918.10303,175374764908.20514,175382162235.2378,3.3826904891337004,3.304855531380038,-9.643679056998643,15.828409470571373,0.010222987623350213,0.0019258215780960266,1.4330796248254683e-05,0.050876891717981945,0.000917895274608605,0.0007747012647930661,0.00020160177347699915,0.0020854067544932168,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-10-07,46600448122.36,129410000000.0,-0.007386843462412143,285162216580.40894,176968488062.44043,176963057177.7743,176969697189.41995,-0.10710562850417098,0.21309285906293646,-12.093064918997387,12.06425224777997,0.003000746700225676,0.0004708371379072531,2.0035641855973443e-06,0.01547908550041742,0.0006688452214641428,0.00046379403463655904,8.835883091015781e-05,0.001804467389428565,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-10-14,46257310860.64,129410000000.0,-0.007326294651986332,284807035518.1751,176617339459.50848,176611573422.85114,176618643707.85654,-0.09973251112863807,0.22179897777018306,-12.087323071198174,12.072388555355904,0.0031681378360225113,0.0005095122890555559,2.2536003003302286e-06,0.01627704829310506,0.0007148331852600031,0.000499726131723273,9.697306439774048e-05,0.001914961630093479,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-10-21,47334882261.479996,129410000000.0,-0.0074119276448696226,285895974761.1474,177706417912.09595,177701648784.04614,177707443881.5518,-0.11016016414241703,0.20948608609698385,-12.095443652243281,12.060881530602666,0.0026758489541706325,0.00039847242930902136,1.56323545308169e-06,0.013906683616336117,0.000579266398194021,0.0003945608555020394,7.221879214904935e-05,0.0015864954413802915,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-10-28,48261954863.32,129410000000.0,-0.0073981989115620775,286810656208.5309,178631937216.25708,178627897557.69537,178632769072.22354,-0.10848839742065204,0.21146009591370193,-12.094141756448723,12.062726345996746,0.0023153578753883036,0.00032262413921969776,1.1428789767966627e-06,0.012136776750200175,0.0004824794872119051,0.00032104290638090296,5.583281893406572e-05,0.0013462658349220908,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-11-04,45426557490.159996,129410000000.0,-0.007456981650678056,252737282718.16364,175803291896.89404,175796615994.55933,175804845232.57266,-0.115646449849233,0.20300791862214465,-12.099716121839892,12.054827337323909,0.0035923376698093075,0.0006111173341454329,3.933509417620279e-06,0.018267600172335693,0.0008434224387504816,0.0005996870285793409,0.00012916708525457252,0.0022144875525539434,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
2016-11-11,48225835151.56,129410000000.0,-0.007441658381968281,286785871151.5982,178601474614.88168,178597406901.33755,178602313777.51245,-0.11378051563919359,0.20521120088408712,-12.098263017185301,12.056886423407919,0.002326451976209257,0.00032488466772174866,1.154760497654801e-06,0.012191624883034725,0.0004861507836023529,0.000323801794446684,5.6436023113905524e-05,0.0013554535365407734,100022,2014-10-03,2016-09-30,2016-10-07,2016-12-30,3.0
