date,market_cap,debt_face,rf,A_train_mean,A_train_median,A_train_q05,A_train_q95,theta_train_mean,theta_train_median,theta_train_q05,theta_train_q95,logA_train_median,dlogA_train_median,alpha_post_mean,beta1_post_mean,delta_post_mean,beta0_post_mean,alpha_post_median,beta1_post_median,delta_post_median,beta0_post_median,gvkey,window_train_start,window_train_end,window_idx
2015-09-11,51488649113.88,117366000000.0,-0.002765140417905242,181436177832.58063,181436177832.582,181436177832.582,181436177832.582,2.0507605090600025,2.8152662655619105,-10.384110484233835,13.476014959653208,25.92416979152638,0.0173161884240578,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-09-18,51597008249.159996,117366000000.0,-0.0028794374500842102,181561270706.40875,181561270706.4101,181561270706.4101,181561270706.4101,2.0367061336983476,2.80403224329062,-10.395034963292757,13.46462157486951,25.92485901333377,0.0006892218073879519,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-09-25,47491401012.44,117366000000.0,-0.0028835143513214535,177439534613.03903,177439534613.03897,177439534613.03897,177439534613.03897,2.036204829825704,2.8036315413417077,-10.395424630198367,13.464215184813277,25.901895737760082,-0.02296327557368727,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-10-02,47082044279.159996,117366000000.0,-0.002914101498148973,177028824035.20306,177028824035.20276,177028824035.20276,177028824035.20276,2.0324437880358235,2.8006252741527655,-10.39834811999151,13.461166234087804,25.89957840391851,-0.0023173338415709566,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-10-09,52855178208.799995,117366000000.0,-0.0028248906442560704,182791812336.21143,182791812336.21222,182791812336.21222,182791812336.21222,2.043413361073669,2.8093934811646797,-10.389821409367677,13.47005889179784,25.931613704680043,0.032035300761531715,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-10-16,52217063301.03999,117366000000.0,-0.002991415426572077,182177570756.50974,182177570756.51007,182177570756.51007,182177570756.51007,2.0229372649333035,2.7930265954099722,-10.405737672169401,13.453459601017666,25.92824771187024,-0.0033659928098010994,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-10-23,56160131834.840004,117366000000.0,-0.003258473276524514,186167157557.4689,186167157557.4695,186167157557.4695,186167157557.4695,1.9901010855063732,2.7667808274035073,-10.431262251328253,13.426840222116736,25.94991080361919,0.021663091748948204,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-10-30,56202271498.56,117366000000.0,-0.0032980895325971015,186208758335.82806,186208758335.82782,186208758335.82782,186208758335.82782,1.9852302236317876,2.762887653254709,-10.435048597458946,13.422891530795843,25.950134237932506,0.00022343431331606212,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-11-06,57809598671.88,117366000000.0,-0.003263758493655935,187802879930.15674,187802879930.1576,187802879930.1576,187802879930.1576,1.989451259801874,2.766261434667733,-10.43176738977994,13.426313424229036,25.958658738694353,0.00852450076184752,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-11-13,56912625829.840004,117366000000.0,-0.0036960776742885047,186974290431.62314,186974290431.6226,186974290431.6226,186974290431.6226,1.9362995472003426,2.7237795375177534,-10.473915205899477,13.38322432977168,25.95423696002629,-0.004421778668064036,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
