gvkey,date,alpha,beta,delta,mu,A_used,L_used,PD_1y,train_end_date,training_end
221616,2017-09-15,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,181899185829.8887,109640000000.0,0.00021175166442095945,2017-06-30,0
221616,2017-09-22,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,184082310663.5372,109640000000.0,0.00018027869228381352,2017-06-30,0
221616,2017-09-29,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,185625938844.06573,109640000000.0,0.0001035882040932747,2017-09-30,1
221616,2017-10-06,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,185180598064.98126,109640000000.0,0.00010700322959150526,2017-09-30,0
221616,2017-10-13,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,184059922412.89093,109640000000.0,0.00011615250290807607,2017-09-30,0
221616,2017-10-20,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,183842674220.28577,109640000000.0,0.00011802298820554741,2017-09-30,0
221616,2017-10-27,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,184795146593.8946,109640000000.0,0.00011005822049717138,2017-09-30,0
221616,2017-11-03,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,184987286826.9754,109640000000.0,0.00010852364538573608,2017-09-30,0
221616,2017-11-10,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,182288188668.61932,109640000000.0,0.00013240527605903676,2017-09-30,0
221616,2017-11-17,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,181727118517.947,109640000000.0,0.00013805699701979017,2017-09-30,0
221616,2017-11-24,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,180978576296.03705,109640000000.0,0.00014601070673425745,2017-09-30,0
221616,2017-12-01,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,181802967232.40506,109640000000.0,0.00013727781379661077,2017-09-30,0
221616,2017-12-08,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,184440895900.7074,109640000000.0,0.00011294992363653007,2017-09-30,0
221616,2017-12-15,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,182279788777.97058,109640000000.0,0.00013248800451491096,2017-09-30,0
221616,2017-12-22,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,181941279303.78076,109640000000.0,0.00013586927159887265,2017-09-30,0
221616,2017-12-29,11.373556924749991,0.0020848152060950697,0.0021671222207504718,0.001151320861301617,180897777153.8555,109640000000.0,0.00014689869427995779,2017-09-30,0
221616,2019-03-29,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,173007806949.38626,101938000000.0,0.00024683965760710077,2019-03-31,1
221616,2019-04-05,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,173890841667.06824,101938000000.0,0.00022994637462001014,2019-03-31,0
221616,2019-04-12,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,173139268461.92233,101938000000.0,0.00024424085083355466,2019-03-31,0
221616,2019-04-19,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,173424825030.16782,101938000000.0,0.00023869833202017828,2019-03-31,0
221616,2019-04-26,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,173779593092.447,101938000000.0,0.00023200329090476728,2019-03-31,0
221616,2019-05-03,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,173581758822.95816,101938000000.0,0.00023571102443702857,2019-03-31,0
221616,2019-05-10,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,173583259615.71826,101938000000.0,0.00023568265432924245,2019-03-31,0
221616,2019-05-17,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,174992123986.35516,101938000000.0,0.0002106268010263513,2019-03-31,0
221616,2019-05-24,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,174319036156.3683,101938000000.0,0.00022221348218316378,2019-03-31,0
221616,2019-05-31,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,174539878843.10056,101938000000.0,0.0002183367747562755,2019-03-31,0
221616,2019-06-07,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,175851499274.13525,101938000000.0,0.00019678352742958898,2019-03-31,0
221616,2019-06-14,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,175872546879.7256,101938000000.0,0.00019645721170399633,2019-03-31,0
221616,2019-06-21,11.377109117487528,-0.0051117984346874465,0.0017320398817197,-0.0007128432771225714,176016330616.93658,101938000000.0,0.00019424379693715679,2019-03-31,0
221616,2019-06-28,11.37108010545566,-0.003636732436559705,0.0016063163765783787,-0.0005089485931434013,175075817754.06122,101938000000.0,0.00015795006808798048,2019-06-30,1
